"BiocVersion","SourceVersion","Coordinate_1_based","Species","TaxonomyId","SourceVersion.1","Genome","SourceUrl","DataProvider","Maintainer","Title","Description","SourceType","RDataClass","DispatchClass","RDataPath","Tags"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://dx.doi.org/10.7717/peerj.32",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti ML microbiome counts","Count matrix for the Lahti microbiome dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/lahti-ml/microbiome_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://dx.doi.org/10.7717/peerj.32",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti ML microbiome row data","Row data for the Lahti microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/lahti-ml/microbiome_rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://dx.doi.org/10.7717/peerj.32",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti ML lipids counts","Count matrix for the Lahti lipids dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/lahti-ml/lipids_counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://dx.doi.org/10.7717/peerj.32",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti ML sample data","Sample data for the Lahti dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/lahti-ml/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1038/ncomms5344",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti Western Adult microbiome counts","Count matrix for the Lahti Western Adult microbiome dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/lahti-wa/counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1038/ncomms5344",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti Western Adult microbiome row data","Row data for the Lahti Western Adult microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/lahti-wa/rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1038/ncomms5344",NA,"Leo Lahti <leo.lahti@iki.fi>","Lahti Western Adult sample data","Sample data for the Lahti Western Adult dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/lahti-wa/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://dx.doi.org/10.1038/ncomms7342",NA,"Leo Lahti <leo.lahti@iki.fi>","O'Keefe diet swap microbiome counts","Count matrix for the O'Keefe diet swap microbiome dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/okeefe-ds/counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://dx.doi.org/10.1038/ncomms7342",NA,"Leo Lahti <leo.lahti@iki.fi>","O'Keefe diet swap microbiome row data","Row data for the O'Keefe diet swap microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/okeefe-ds/rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://dx.doi.org/10.1038/ncomms7342",NA,"Leo Lahti <leo.lahti@iki.fi>","O'Keefe diet swap sample data","Sample data for the O'Keefe diet swap microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/okeefe-ds/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1186/s40168-018-0584-3",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Silverman Artificial Gut microbiome counts","Count matrix for the Silverman microbiome dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/silverman-ag/counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1186/s40168-018-0584-3",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Silverman Artificial Gut row data","Row data for the Silverman microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/silverman-ag/rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1186/s40168-018-0584-3",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Silverman Artificial Gut sample data","Sample data for the Silverman dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/silverman-ag/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1186/s40168-018-0584-3",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Silverman Artificial Gut reference sequence","Reference sequence for the Silverman dataset","TXT","character","FilePath","microbiomeDataSets/3.13/silverman-ag/refseq.fasta.gz","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://doi.org/10.1186/s40168-018-0584-3",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Silverman Artificial Gut tree data","Feature tree data for the Silverman dataset","TXT","character","FilePath","microbiomeDataSets/3.13/silverman-ag/rowtree.tre.gz","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://msystems.asm.org/content/1/3/e00021-16,https://qiita.ucsd.edu/study/description/10394","Qiita","Felix GM Ernst <felix.gm.ernst@outlook.com>","Song et al. 2012 dataset OTU count matrix","Count matrix for the Song et al. 2012 dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/song-qa/counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://msystems.asm.org/content/1/3/e00021-16,https://qiita.ucsd.edu/study/description/10394","Qiita","Felix GM Ernst <felix.gm.ernst@outlook.com>","Song et al. 2012 dataset row data","Row data for the Song et al. 2012 dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/song-qa/rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://msystems.asm.org/content/1/3/e00021-16,https://qiita.ucsd.edu/study/description/10394","Qiita","Felix GM Ernst <felix.gm.ernst@outlook.com>","Song et al. 2012 dataset sample data","Sample data for the Song et al. 2012 dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/song-qa/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"http://msystems.asm.org/content/1/3/e00021-16,https://qiita.ucsd.edu/study/description/10394","Qiita","Felix GM Ernst <felix.gm.ernst@outlook.com>","Song et al. 2012 dataset feature tree","Feature tree for the Song et al. 2012 dataset","TXT",NA,"FilePath","microbiomeDataSets/3.13/song-qa/rowtree.tre.gz","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://www.nature.com/articles/s41467-020-17541-6#Abs1",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sprockett Tsimane Horticulturalists microbiome counts","Count matrix for the Sprockett microbiome dataset","CSV","matrix","Rds","microbiomeDataSets/3.13/sprockett-th/counts.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://www.nature.com/articles/s41467-020-17541-6#Abs1",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sprockett Tsimane Horticulturalists row data","Row data for the Sprockett microbiome dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/sprockett-th/rowdata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://www.nature.com/articles/s41467-020-17541-6#Abs1",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sprockett Tsimane Horticulturalists sample data","Sample data for the Sprockett dataset","CSV","DFrame","Rds","microbiomeDataSets/3.13/sprockett-th/coldata.rds","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://www.nature.com/articles/s41467-020-17541-6#Abs1",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sprockett Tsimane Horticulturalists tree data","Feature tree data for the Sprockett dataset","TXT","character","FilePath","microbiomeDataSets/3.13/sprockett-th/rowtree.tre.gz","Microbiome"
"3.13",NA,TRUE,"Homo sapiens","9606",2021-08-27 23:06:03,NA,"https://www.nature.com/articles/s41467-020-17541-6#Abs1",NA,"Sudarshan Shetty <sudarshanshetty9@gmail.com>","Sprockett Tsimane Horticulturalists reference sequence data","Reference sequences data for the Sprockett dataset","TXT","character","FilePath","microbiomeDataSets/3.13/sprockett-th/refseq.fasta.gz","Microbiome"
